video_id,match_id,title,description,channel_id,channel_name,published_at,period,views,likes,comment_count,url,search_query
PuLXgaAap_s,2026-09-01-cam-cru,Onde assistir ao vivo com imagem Atlético x Cruzeiro| Copa do Brasil 2026 🎥🔥,Onde assistir ao vivo com imagem Atlético-MG x Cruzeiro | Copa do Brasil 2026 CLASSICO MINEIRO #atleticomg #cruzeiro ...,UCbqEUQTg0a3gR3X_nninkKQ,Canal 7sports,2026-09-01T21:00:23Z,pre_game,150254,403,19,https://www.youtube.com/watch?v=PuLXgaAap_s,"""Atlético-MG x Cruzeiro"" 01/09/2026"
Swd-ks56epE,2026-09-01-cam-cru,ATLETICO-MG X CRUZEIRO AO VIVO COM IMAGENS - COPA DO BRASIL 2026 - ASSISTA AGORA!,aovivo #atleticomg #cruzeiro ⚽   Veja onde assistir AO VIVO Atletico mg vs Cruzeiro GOLS E MELHORES MOMENTOS ...,UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2026-09-01T18:00:06Z,pre_game,36036,86,2,https://www.youtube.com/watch?v=Swd-ks56epE,Atlético Cruzeiro pré jogo 01/09/2026
EMk472cDCZ0,2026-09-01-cam-cru,🖤CICINHO E RENATA FAN DEBATEM ATLÉTICO-MG X CRUZEIRO PELA COPA DO BRASIL 2026🖤🤍,É DECISÃO PARA O GALO! Cicinho e Renata Fan analisam o grande clássico entre Atlético-MG e Cruzeiro pela Copa do Brasil ...,UCqoMi5SnjkZFkzUhd0Bb5sw,VIBRA TORCEDOR,2026-09-01T15:08:46Z,pre_game,15539,151,14,https://www.youtube.com/watch?v=EMk472cDCZ0,"""Atlético-MG x Cruzeiro"" Copa do Brasil"
6v-1eaNWWEY,2026-09-01-cam-cru,ATLETICO-MG X CRUZEIRO AO VIVO (COM IMAGENS !!!) COPA DO BRASIL 2026 - ASSISTA AGORA!,aovivo #atleticomg #cruzeiro ⚽   Veja onde assistir AO VIVO Atletico mg vs Cruzeiro GOLS E MELHORES MOMENTOS ...,UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2026-08-30T22:01:26Z,pre_game,6356,11,0,https://www.youtube.com/watch?v=6v-1eaNWWEY,Atlético Cruzeiro pré jogo 01/09/2026
0qFrGZXx5tU,2026-09-01-cam-cru,ATLETICO-MG X CRUZEIRO AO VIVO COM IMAGENS | COPA DO BRASIL 2026 | ASSISTA JOGO AGORA!,atleticomg #cruzeiro #aovivo ⚽   Veja onde assistir AO VIVO Atletico mg vs Cruzeiro GOLS E MELHORES MOMENTOS ...,UC_6zy55DWatEXvIlkY0HKCw,RODRIGO GAMER 18 FC,2026-09-01T19:00:05Z,pre_game,1049,5,0,https://www.youtube.com/watch?v=0qFrGZXx5tU,Atlético Cruzeiro pré jogo 01/09/2026
CCv-AioMsMU,2026-09-01-cam-cru,ATLÉTICO-MG 2 X 1 CRUZEIRO | MELHORES MOMENTOS | QUARTAS COPA DO BRASIL 2026 | ge.globo,O Atlético vence o Cruzeiro por 2 a 1. O time alvinegro se classifica para a semifinal da Copa do Brasil. Confira todos os ...,UCgCKagVhzGnZcuP9bSMgMCg,ge tv,2026-09-02T02:17:37Z,post_game,3262365,54826,2745,https://www.youtube.com/watch?v=CCv-AioMsMU,"""Atlético-MG x Cruzeiro"" 01/09/2026"
zAesOWYFZfg,2026-09-01-cam-cru,ATLÉTICO-MG X CRUZEIRO | AQUECIMENTO AO VIVO | COPA DO BRASIL 2026 | #live | sportv,Você acompanha o melhor pré-jogo no Aquecimento sportv. Fique por dentro dos bastidores de Atlético-MG x Cruzeiro pela ...,UCgCKagVhzGnZcuP9bSMgMCg,ge tv,2026-09-02T00:16:56Z,post_game,3281934,24192,77,https://www.youtube.com/watch?v=zAesOWYFZfg,"""Atlético-MG x Cruzeiro"" 01/09/2026"
83wa6mUX11k,2026-09-01-cam-cru,"GALO x CRUZEIRO | COPA do BRASIL | PRÉ-JOGO, NARRAÇÃO, COLETIVA e COMEMORAÇÃO!","O GALO se classificou para as semifinais da Copa do Brasil! Na live da Galotv H2bet, você acompanha: ⭐ Participação Diego ...",UC0BhAOfmm1tJaJkPyTM9D_g,GaloTV H2bet | Atlético,2026-09-02T04:39:10Z,post_game,1449927,12159,6,https://www.youtube.com/watch?v=83wa6mUX11k,"""Atlético-MG x Cruzeiro"" 01/09/2026"
WbsPFsOSdG4,2026-09-01-cam-cru,Dublagem de Atlético Mineiro X Cruzeiro! #dublagem #atleticomineiro #cruzeiro #copadobrasil #futebol,,UCbJ0FUhM6roOzw6cM5eFPog,Gustavo Machado,2026-09-02T13:07:25Z,post_game,1493088,67141,1076,https://www.youtube.com/watch?v=WbsPFsOSdG4,"""Atlético-MG x Cruzeiro"" 01/09/2026"
4iUm7ZPPutM,2026-09-01-cam-cru,AO VIVO: ATLÉTICO X CRUZEIRO NA ITATIAIA! REACT DAS QUARTAS DE FINAL DA COPA DO BRASIL,ItatiaiaEsporte #GaloXCruzeiro #CopaDoBrasil #FutebolAoVivo #RadioItatiaia #AoVivoAgora #ArenaMRV #AtleticoMG #Cruzeiro ...,UCezhRry1J2kNRNCdNDHimNA,Itatiaia Esporte,2026-09-02T05:05:31Z,post_game,2102306,24409,37,https://www.youtube.com/watch?v=4iUm7ZPPutM,"""Atlético-MG x Cruzeiro"" 01/09/2026"
