entity_id,canonical_name,alias,alias_confidence,alias_note
coach_artur_jorge,Artur Jorge,artur jorge,high,canonical_lower
coach_artur_jorge,Artur Jorge,arthur jorge,medium,common_alias
coach_cuca,Cuca,cuca,medium,canonical_lower
coach_eduardo_dominguez,Eduardo Domínguez,eduardo domínguez,high,canonical_lower
coach_eduardo_dominguez,Eduardo Domínguez,eduardo dominguez,high,canonical_without_accents
coach_eduardo_dominguez,Eduardo Domínguez,dominguez,high,common_alias
coach_eduardo_dominguez,Eduardo Domínguez,domínguez,high,common_alias
coach_jorge_sampaoli,Jorge Sampaoli,jorge sampaoli,high,canonical_lower
coach_jorge_sampaoli,Jorge Sampaoli,sampaoli,high,common_alias
coach_leonardo_jardim,Leonardo Jardim,leonardo jardim,high,canonical_lower
coach_leonardo_jardim,Leonardo Jardim,jardim,medium,common_alias
coach_tite,Tite,tite,high,canonical_lower
coach_wesley_de_carvalho,Wesley de Carvalho,wesley de carvalho,high,canonical_lower
management_alexandre_mattos,Alexandre Mattos,alexandre mattos,high,canonical_lower
management_alexandre_mattos,Alexandre Mattos,mattos,medium,common_alias
management_bruno_muzzi,Bruno Muzzi,bruno muzzi,high,canonical_lower
management_bruno_muzzi,Bruno Muzzi,muzzi,high,common_alias
management_bruno_spindel,Bruno Spindel,bruno spindel,high,canonical_lower
management_bruno_spindel,Bruno Spindel,spindel,high,common_alias
management_guilherme_alves,Guilherme Alves,guilherme alves,high,canonical_lower
management_joaquim_pinto,Joaquim Pinto,joaquim pinto,high,canonical_lower
management_paulo_bracks,Paulo Bracks,paulo bracks,high,canonical_lower
management_paulo_bracks,Paulo Bracks,bracks,high,common_alias
management_paulo_pelaipe,Paulo Pelaipe,paulo pelaipe,high,canonical_lower
management_paulo_pelaipe,Paulo Pelaipe,pelaipe,high,common_alias
management_pedro_daniel,Pedro Daniel,pedro daniel,high,canonical_lower
management_pedro_junio,Pedro Junio,pedro junio,high,canonical_lower
management_pedro_lourenco,Pedro Lourenço,pedro lourenço,high,canonical_lower
management_pedro_lourenco,Pedro Lourenço,pedro lourenco,high,canonical_without_accents
management_pedro_lourenco,Pedro Lourenço,pedrinho bh,high,common_alias
management_pedro_lourenco,Pedro Lourenço,pedrinho,medium,common_alias
management_rafael_menin,Rafael Menin,rafael menin,high,canonical_lower
management_rodrigo_ramos,Rodrigo Ramos,rodrigo ramos,high,canonical_lower
management_sergio_coelho,Sérgio Coelho,sérgio coelho,high,canonical_lower
management_sergio_coelho,Sérgio Coelho,sergio coelho,high,canonical_without_accents
management_victor_bagy,Victor Bagy,victor bagy,high,canonical_lower
management_victor_bagy,Victor Bagy,são victor,high,common_alias
management_victor_bagy,Victor Bagy,sao victor,high,common_alias
player_alan_franco,Alan Franco,alan franco,high,canonical_lower
player_alan_minda,Alan Minda,alan minda,high,canonical_lower
player_alan_minda,Alan Minda,minda,high,common_alias
player_alexsander,Alexsander,alexsander,high,canonical_lower
player_bernard,Bernard,bernard,medium,canonical_lower
player_biel,Biel,biel,medium,canonical_lower
player_bolasie,Bolasie,bolasie,medium,canonical_lower
player_brahian_palacios,Brahian Palacios,brahian palacios,high,canonical_lower
player_bruno_rodrigues,Bruno Rodrigues,bruno rodrigues,high,canonical_lower
player_caio_paulista,Caio Paulista,caio paulista,high,canonical_lower
player_caua_soares,Cauã Soares,cauã soares,high,canonical_lower
player_caua_soares,Cauã Soares,caua soares,high,canonical_without_accents
player_chico_da_costa,Chico da Costa,chico da costa,high,canonical_lower
player_christian,Christian,christian,medium,canonical_lower
player_cassio,Cássio,cássio,high,canonical_lower
player_cassio,Cássio,cassio,high,canonical_without_accents
player_deyverson,Deyverson,deyverson,high,canonical_lower
player_dudu,Dudu,dudu,medium,canonical_lower
player_eduardo,Eduardo,eduardo,medium,canonical_lower
player_everson,Everson,everson,medium,canonical_lower
player_fabricio_bruno,Fabrício Bruno,fabrício bruno,high,canonical_lower
player_fabricio_bruno,Fabrício Bruno,fabricio bruno,high,canonical_without_accents
player_fagner,Fagner,fagner,medium,canonical_lower
player_fausto_vera,Fausto Vera,fausto vera,high,canonical_lower
player_fred,Fred,fred,medium,canonical_lower
player_gabriel_barbosa,Gabriel Barbosa,gabriel barbosa,high,canonical_lower
