match_id,match_date,match_datetime,competition,season,home_team,away_team,home_score,away_score,winner,atletico_score,cruzeiro_score,result_atletico,result_cruzeiro,source,source_url,atletico_head_coach,atletico_management,cruzeiro_head_coach,cruzeiro_management
2026-09-01-cam-cru,2026-09-01,2026-09-01T21:00:00-03:00,Copa do Brasil - quartas de final (volta),2026,Atlético-MG,Cruzeiro,2,1,Atlético-MG,2,1,win,loss,CBF,https://www.cbf.com.br/futebol-brasileiro/noticias/copa-brasil/a/atletico-mg-bate-cruzeiro-de-virada-e-o-primeiro-semifinalista-da-copa-do-brasil,Eduardo Domínguez,Sérgio Coelho; Pedro Daniel; Paulo Bracks; Rafael Menin; Guilherme Alves,Artur Jorge,Pedro Lourenço; Pedro Junio; Bruno Spindel; Joaquim Pinto; Rodrigo Ramos
2026-08-25-cru-cam,2026-08-25,2026-08-25T21:00:00-03:00,Copa do Brasil - quartas de final (ida),2026,Cruzeiro,Atlético-MG,1,1,draw,1,1,draw,draw,Clube Atlético Mineiro,https://atletico.com.br/galo-empata-classico-e-leva-decisao-para-a-arena-mrv/,Eduardo Domínguez,Sérgio Coelho; Pedro Daniel; Paulo Bracks; Rafael Menin; Guilherme Alves,Artur Jorge,Pedro Lourenço; Pedro Junio; Bruno Spindel; Joaquim Pinto; Rodrigo Ramos
2026-05-02-cru-cam,2026-05-02,2026-05-02T21:00:00-03:00,Campeonato Brasileiro - 14ª rodada,2026,Cruzeiro,Atlético-MG,1,3,Atlético-MG,3,1,win,loss,Clube Atlético Mineiro,https://atletico.com.br/vitoria-gigante-no-classico-e-show-da-massa-no-mineirao/,Eduardo Domínguez,Sérgio Coelho; Pedro Daniel; Paulo Bracks; Rafael Menin,Artur Jorge,Pedro Lourenço; Pedro Junio; Bruno Spindel; Joaquim Pinto; Rodrigo Ramos
2026-03-08-cru-cam,2026-03-08,2026-03-08T18:00:00-03:00,Campeonato Mineiro - final,2026,Cruzeiro,Atlético-MG,1,0,Cruzeiro,0,1,loss,win,Clube Atlético Mineiro,https://atletico.com.br/atletico-perde-a-final-do-mineiro-de-2026/,Eduardo Domínguez,Sérgio Coelho; Pedro Daniel; Paulo Bracks; Rafael Menin,Tite,Pedro Lourenço; Pedro Junio; Bruno Spindel; Joaquim Pinto; Rodrigo Ramos
2026-01-25-cam-cru,2026-01-25,2026-01-25T18:00:00-03:00,Campeonato Mineiro - 5ª rodada,2026,Atlético-MG,Cruzeiro,2,1,Atlético-MG,2,1,win,loss,Clube Atlético Mineiro,https://atletico.com.br/galo-faz-valer-o-mando-e-vira-o-classico-na-arena-mrv/,Jorge Sampaoli,Sérgio Coelho; Pedro Daniel; Paulo Bracks; Rafael Menin,Tite,Pedro Lourenço; Pedro Junio; Bruno Spindel; Joaquim Pinto; Rodrigo Ramos
2025-10-15-cam-cru,2025-10-15,2025-10-15T21:30:00-03:00,Campeonato Brasileiro - 28ª rodada,2025,Atlético-MG,Cruzeiro,1,1,draw,1,1,draw,draw,Clube Atlético Mineiro,https://atletico.com.br/galo-pressiona-mas-empata-classico-pelo-brasileirao/,Jorge Sampaoli,Sérgio Coelho; Bruno Muzzi; Paulo Bracks; Victor Bagy; Rafael Menin,Leonardo Jardim,Pedro Lourenço; Pedro Junio; Paulo Pelaipe; Rodrigo Ramos
2025-09-11-cru-cam,2025-09-11,2025-09-11T19:30:00-03:00,Copa do Brasil - quartas de final (volta),2025,Cruzeiro,Atlético-MG,2,0,Cruzeiro,0,2,loss,win,Clube Atlético Mineiro,https://atletico.com.br/atletico-perde-para-o-cruzeiro-na-copa-do-brasil/,Jorge Sampaoli,Sérgio Coelho; Bruno Muzzi; Paulo Bracks; Victor Bagy; Rafael Menin,Leonardo Jardim,Pedro Lourenço; Pedro Junio; Paulo Pelaipe; Rodrigo Ramos
2025-08-27-cam-cru,2025-08-27,2025-08-27T19:30:00-03:00,Copa do Brasil - quartas de final (ida),2025,Atlético-MG,Cruzeiro,0,2,Cruzeiro,0,2,loss,win,Clube Atlético Mineiro,https://atletico.com.br/atletico-perde-para-o-cruzeiro-na-copa-do-brasil/,Cuca,Sérgio Coelho; Bruno Muzzi; Paulo Bracks; Victor Bagy; Rafael Menin,Leonardo Jardim,Pedro Lourenço; Pedro Junio; Paulo Pelaipe; Rodrigo Ramos
2025-05-18-cru-cam,2025-05-18,2025-05-18T20:30:00-03:00,Campeonato Brasileiro - 9ª rodada,2025,Cruzeiro,Atlético-MG,0,0,draw,0,0,draw,draw,Clube Atlético Mineiro,https://atletico.com.br/atletico-empata-com-o-cruzeiro-pelo-brasileirao/,Cuca,Sérgio Coelho; Bruno Muzzi; Paulo Bracks; Victor Bagy; Rafael Menin,Leonardo Jardim,Pedro Lourenço; Pedro Junio; Alexandre Mattos; Paulo Pelaipe; Rodrigo Ramos
2025-02-09-cru-cam,2025-02-09,2025-02-09T16:00:00-03:00,Campeonato Mineiro - 7ª rodada,2025,Cruzeiro,Atlético-MG,0,2,Atlético-MG,2,0,win,loss,Clube Atlético Mineiro,https://atletico.com.br/galo-com-retrospecto-positivo-recente-no-classico/,Cuca,Sérgio Coelho; Bruno Muzzi; Paulo Bracks; Victor Bagy; Rafael Menin,Wesley de Carvalho,Pedro Lourenço; Pedro Junio; Alexandre Mattos; Paulo Pelaipe; Rodrigo Ramos
