source,target,weight,negative_share
player_hulk,player_kaio_jorge,132,0.5378787878787878
player_fabricio_bruno,player_hulk,104,0.6442307692307693
player_cassio,player_hulk,90,0.6666666666666666
player_cassio,player_gabriel_barbosa,73,0.5205479452054794
player_everson,player_hulk,73,0.6438356164383562
player_gabriel_barbosa,player_hulk,58,0.4827586206896552
player_dudu,player_lyanco,57,0.7719298245614035
player_gerson,player_hulk,56,0.5714285714285714
player_dudu,player_gabriel_barbosa,52,0.7884615384615384
coach_cuca,coach_leonardo_jardim,44,0.38636363636363635
player_dudu,player_hulk,43,0.6976744186046512
player_cassio,player_gerson,42,0.6904761904761905
player_fabricio_bruno,player_gabriel_barbosa,41,0.4878048780487805
player_cassio,player_everson,36,0.5833333333333334
player_cassio,player_fabricio_bruno,33,0.3333333333333333
player_cassio,player_dudu,32,0.6875
player_bruno_rodrigues,player_everson,30,0.9333333333333333
player_fabricio_bruno,player_lyanco,29,0.7241379310344828
player_hulk,player_lyanco,28,0.7857142857142857
player_gabriel_barbosa,player_lyanco,27,0.6666666666666666
player_hulk,player_lucas_romero,24,0.5416666666666666
player_everson,player_kaio_jorge,24,0.75
player_kaio_jorge,player_matheus_pereira,22,0.4090909090909091
player_dudu,player_fabricio_bruno,21,0.7142857142857143
player_gustavo_scarpa,player_hulk,19,0.631578947368421
player_fabricio_bruno,player_kaio_jorge,19,0.21052631578947367
player_gerson,player_kaio_jorge,19,0.42105263157894735
player_cassio,player_kaio_jorge,18,0.3333333333333333
player_everson,player_gerson,18,0.7777777777777778
player_christian,player_everson,16,0.6875
coach_cuca,player_fabricio_bruno,16,0.375
player_gabriel_barbosa,player_kaio_jorge,16,0.5625
coach_leonardo_jardim,player_fabricio_bruno,16,0.25
player_hulk,player_tomas_cuello,15,0.3333333333333333
player_ivan_roman,player_kaio_jorge,14,0.9285714285714286
player_cassio,player_lucas_silva,14,0.6428571428571429
coach_leonardo_jardim,management_pedro_lourenco,14,0.07142857142857142
player_dudu,player_gustavo_scarpa,12,0.5833333333333334
coach_cuca,player_hulk,11,0.7272727272727273
player_lyanco,player_renan_lodi,11,0.9090909090909091
player_bernard,player_hulk,11,0.36363636363636365
player_everson,player_fabricio_bruno,10,0.1
player_everson,player_lucas_romero,10,0.6
player_gerson,player_matheus_pereira,10,0.5
coach_tite,player_cassio,9,0.8888888888888888
player_kaio_jorge,player_keny_arroyo,9,0.6666666666666666
player_dudu,player_kaio_jorge,9,0.8888888888888888
player_gabriel_barbosa,player_matheus_pereira,8,0.375
player_cassio,player_william,8,0.625
