outcome,period_label,entity_id,entity,entity_type,team,mentions,context_comments,mentions_per_1000_comments
Atlético-MG venceu,Pré-jogo,coach_jorge_sampaoli,Jorge Sampaoli,coach,Atlético-MG,1,145,6.896551724137931
Atlético-MG venceu,Pré-jogo,management_pedro_lourenco,Pedro Lourenço,management,Cruzeiro,1,145,6.896551724137931
Atlético-MG venceu,Pré-jogo,player_bernard,Bernard,player,Atlético-MG,1,145,6.896551724137931
Atlético-MG venceu,Pós-jogo,coach_artur_jorge,Artur Jorge,coach,Cruzeiro,24,14854,1.6157264036623131
Atlético-MG venceu,Pós-jogo,coach_cuca,Cuca,coach,Atlético-MG,19,14854,1.2791167362326645
Atlético-MG venceu,Pós-jogo,coach_eduardo_dominguez,Eduardo Domínguez,coach,Atlético-MG,2,14854,0.13464386697185943
Atlético-MG venceu,Pós-jogo,coach_jorge_sampaoli,Jorge Sampaoli,coach,Atlético-MG,15,14854,1.0098290022889458
Atlético-MG venceu,Pós-jogo,coach_tite,Tite,coach,Cruzeiro,87,14854,5.857008213275885
Atlético-MG venceu,Pós-jogo,management_alexandre_mattos,Alexandre Mattos,management,Cruzeiro,3,14854,0.20196580045778914
Atlético-MG venceu,Pós-jogo,management_pedro_lourenco,Pedro Lourenço,management,Cruzeiro,52,14854,3.500740541268345
Atlético-MG venceu,Pós-jogo,player_alan_franco,Alan Franco,player,Atlético-MG,6,14854,0.4039316009155783
Atlético-MG venceu,Pós-jogo,player_alan_minda,Alan Minda,player,Atlético-MG,8,14854,0.5385754678874377
Atlético-MG venceu,Pós-jogo,player_alexsander,Alexsander,player,Atlético-MG,1,14854,0.06732193348592971
Atlético-MG venceu,Pós-jogo,player_bernard,Bernard,player,Atlético-MG,98,14854,6.597549481621112
Atlético-MG venceu,Pós-jogo,player_bruno_rodrigues,Bruno Rodrigues,player,Cruzeiro,2,14854,0.13464386697185943
Atlético-MG venceu,Pós-jogo,player_cassio,Cássio,player,Cruzeiro,485,14854,32.651137740675914
Atlético-MG venceu,Pós-jogo,player_christian,Christian,player,Cruzeiro,3,14854,0.20196580045778914
Atlético-MG venceu,Pós-jogo,player_deyverson,Deyverson,player,Atlético-MG,2,14854,0.13464386697185943
Atlético-MG venceu,Pós-jogo,player_dudu,Dudu,player,Atlético-MG,48,14854,3.2314528073246263
Atlético-MG venceu,Pós-jogo,player_dudu,Dudu,player,Cruzeiro,202,14854,13.599030564157802
Atlético-MG venceu,Pós-jogo,player_eduardo,Eduardo,player,Cruzeiro,1,14854,0.06732193348592971
Atlético-MG venceu,Pós-jogo,player_everson,Everson,player,Atlético-MG,19,14854,1.2791167362326645
Atlético-MG venceu,Pós-jogo,player_fabricio_bruno,Fabrício Bruno,player,Cruzeiro,249,14854,16.763161437996498
Atlético-MG venceu,Pós-jogo,player_fagner,Fagner,player,Cruzeiro,3,14854,0.20196580045778914
Atlético-MG venceu,Pós-jogo,player_fred,Fred,player,Atlético-MG,312,14854,21.004443247610073
Atlético-MG venceu,Pós-jogo,player_gabriel_barbosa,Gabriel Barbosa,player,Cruzeiro,534,14854,35.94991248148647
Atlético-MG venceu,Pós-jogo,player_gerson,Gerson,player,Cruzeiro,92,14854,6.193617880705534
Atlético-MG venceu,Pós-jogo,player_guilherme_arana,Guilherme Arana,player,Atlético-MG,2,14854,0.13464386697185943
Atlético-MG venceu,Pós-jogo,player_gustavo_scarpa,Gustavo Scarpa,player,Atlético-MG,31,14854,2.086979938063821
