entity_id,canonical_name,entity_type,team,comments_post_game,comments_pre_game,negative_share_post_game,negative_share_pre_game,positive_share_post_game,positive_share_pre_game,negative_delta_pp,positive_delta_pp
coach_artur_jorge,Artur Jorge,coach,Cruzeiro,29.0,,0.6896551724137931,,0.10344827586206896,,,
coach_cuca,Cuca,coach,Atlético-MG,199.0,11.0,0.5778894472361809,0.7272727272727273,0.19597989949748743,0.18181818181818182,-14.938328003654643,1.4161717679305603
coach_eduardo_dominguez,Eduardo Domínguez,coach,Atlético-MG,9.0,,0.5555555555555556,,0.2222222222222222,,,
coach_jorge_sampaoli,Jorge Sampaoli,coach,Atlético-MG,32.0,1.0,0.46875,1.0,0.25,0.0,-53.125,25.0
coach_leonardo_jardim,Leonardo Jardim,coach,Cruzeiro,109.0,9.0,0.3302752293577982,0.3333333333333333,0.3669724770642202,0.5555555555555556,-0.30581039755351314,-18.85830784913354
coach_tite,Tite,coach,Cruzeiro,134.0,,0.664179104477612,,0.14925373134328357,,,
management_alexandre_mattos,Alexandre Mattos,management,Cruzeiro,3.0,,1.0,,0.0,,,
management_paulo_pelaipe,Paulo Pelaipe,management,Cruzeiro,4.0,,0.5,,0.25,,,
management_pedro_junio,Pedro Junio,management,Cruzeiro,1.0,,0.0,,1.0,,,
management_pedro_lourenco,Pedro Lourenço,management,Cruzeiro,226.0,1.0,0.252212389380531,1.0,0.6238938053097345,0.0,-74.7787610619469,62.38938053097345
player_alan_franco,Alan Franco,player,Atlético-MG,19.0,1.0,0.42105263157894735,0.0,0.21052631578947367,1.0,42.10526315789473,-78.94736842105263
player_alan_minda,Alan Minda,player,Atlético-MG,19.0,,0.5789473684210527,,0.15789473684210525,,,
player_alexsander,Alexsander,player,Atlético-MG,3.0,,1.0,,0.0,,,
player_angelo_preciado,Ángelo Preciado,player,Atlético-MG,15.0,,0.5333333333333333,,0.06666666666666667,,,
player_bernard,Bernard,player,Atlético-MG,124.0,1.0,0.5564516129032258,0.0,0.12903225806451613,0.0,55.64516129032258,12.903225806451612
player_biel,Biel,player,Atlético-MG,7.0,,0.7142857142857143,,0.14285714285714285,,,
player_bruno_rodrigues,Bruno Rodrigues,player,Cruzeiro,60.0,,0.85,,0.016666666666666666,,,
player_caio_paulista,Caio Paulista,player,Atlético-MG,3.0,,0.6666666666666666,,0.0,,,
player_cassio,Cássio,player,Cruzeiro,1066.0,2.0,0.549718574108818,0.0,0.14821763602251406,0.5,54.971857410881796,-35.1782363977486
player_christian,Christian,player,Cruzeiro,34.0,,0.5,,0.17647058823529413,,,
player_deyverson,Deyverson,player,Atlético-MG,2.0,,0.5,,0.0,,,
player_dudu,Dudu,player,Atlético-MG,305.0,1.0,0.5770491803278689,0.0,0.10491803278688525,0.0,57.70491803278689,10.491803278688524
player_dudu,Dudu,player,Cruzeiro,263.0,,0.7224334600760456,,0.08745247148288973,,,
player_eduardo,Eduardo,player,Cruzeiro,4.0,,0.5,,0.0,,,
player_everson,Everson,player,Atlético-MG,883.0,1.0,0.7519818799546999,0.0,0.08720271800679502,1.0,75.19818799547,-91.2797281993205
player_fabricio_bruno,Fabrício Bruno,player,Cruzeiro,678.0,8.0,0.556047197640118,0.25,0.18289085545722714,0.375,30.6047197640118,-19.210914454277287
player_fagner,Fagner,player,Cruzeiro,32.0,,0.5,,0.1875,,,
player_fausto_vera,Fausto Vera,player,Atlético-MG,2.0,,1.0,,0.0,,,
player_fred,Fred,player,Atlético-MG,318.0,2.0,0.3867924528301887,0.5,0.3553459119496855,0.0,-11.32075471698113,35.53459119496855
player_gabriel_barbosa,Gabriel Barbosa,player,Cruzeiro,735.0,,0.5741496598639456,,0.19591836734693877,,,
player_gabriel_menino,Gabriel Menino,player,Atlético-MG,13.0,,0.5384615384615384,,0.23076923076923078,,,
player_gerson,Gerson,player,Cruzeiro,383.0,,0.5378590078328982,,0.13838120104438642,,,
player_guilherme_arana,Guilherme Arana,player,Atlético-MG,97.0,9.0,0.6494845360824743,0.2222222222222222,0.1134020618556701,0.3333333333333333,42.726231386025205,-21.993127147766323
