team_result,entity_type,matches,mean_mentions_per_match,mean_negative_share,mean_positive_share,sufficient_volume
draw,coach,3,8.333333333333334,0.5333333333333333,0.2814814814814815,False
draw,management,3,4.333333333333333,0.8055555555555555,0.0,False
draw,player,3,523.3333333333334,0.7446617618085952,0.09859675365003968,True
draw,technical_staff,1,1.0,0.0,1.0,False
loss,coach,6,52.5,0.7253483231744101,0.09195876587180934,True
loss,management,4,14.5,0.639902312599681,0.10112639553429027,False
loss,player,7,833.8571428571429,0.6178500936539769,0.13617434940550946,True
loss,technical_staff,1,2.0,0.5,0.0,False
win,coach,6,32.5,0.40432659932659937,0.3865824915824916,True
win,management,3,54.666666666666664,0.3505648505648506,0.5097240097240098,True
win,player,7,684.4285714285714,0.49554262839945096,0.2280652528621833,True
