match_id,team_result,participation_status,mentions,negative_share,positive_share
2025-02-09-cru-cam,loss,starter,1497,0.5985303941215765,0.1683366733466934
2025-02-09-cru-cam,loss,substitute_used,1,1.0,0.0
2025-02-09-cru-cam,win,starter,855,0.447953216374269,0.2327485380116959
2025-02-09-cru-cam,win,substitute_used,2,0.5,0.0
2025-05-18-cru-cam,draw,starter,183,0.6666666666666666,0.1366120218579235
2025-05-18-cru-cam,draw,substitute_used,11,0.7272727272727273,0.2727272727272727
2025-08-27-cam-cru,loss,starter,417,0.6426858513189448,0.09592326139088729
2025-08-27-cam-cru,loss,substitute_used,6,0.8333333333333334,0.16666666666666666
2025-08-27-cam-cru,win,starter,305,0.3016393442622951,0.3114754098360656
2025-08-27-cam-cru,win,substitute_used,62,0.5967741935483871,0.11290322580645161
2025-09-11-cru-cam,loss,starter,464,0.603448275862069,0.15086206896551724
2025-09-11-cru-cam,loss,substitute_used,7,0.5714285714285714,0.14285714285714285
2025-09-11-cru-cam,win,starter,416,0.4831730769230769,0.2692307692307692
2025-09-11-cru-cam,win,substitute_used,75,0.44,0.26666666666666666
2025-10-15-cam-cru,draw,starter,712,0.7752808988764045,0.06601123595505617
2025-10-15-cam-cru,draw,substitute_used,100,0.7,0.04
2026-01-25-cam-cru,loss,starter,453,0.5386313465783664,0.11258278145695365
2026-01-25-cam-cru,loss,substitute_used,64,0.640625,0.0625
2026-01-25-cam-cru,win,starter,818,0.46454767726161367,0.2555012224938875
2026-01-25-cam-cru,win,substitute_used,25,0.56,0.28
2026-03-08-cru-cam,loss,starter,2474,0.6378334680679062,0.10145513338722716
2026-03-08-cru-cam,loss,substitute_used,32,0.5,0.0625
2026-03-08-cru-cam,win,starter,1096,0.5218978102189781,0.14507299270072993
2026-03-08-cru-cam,win,substitute_used,21,0.42857142857142855,0.14285714285714285
2026-05-02-cru-cam,loss,starter,80,0.65,0.1875
2026-05-02-cru-cam,loss,substitute_used,2,0.5,0.0
2026-05-02-cru-cam,win,starter,704,0.7741477272727273,0.061079545454545456
2026-05-02-cru-cam,win,substitute_used,1,1.0,0.0
2026-08-25-cru-cam,draw,starter,500,0.782,0.096
2026-08-25-cru-cam,draw,substitute_used,64,0.921875,0.03125
2026-09-01-cam-cru,loss,starter,337,0.6409495548961425,0.14836795252225518
2026-09-01-cam-cru,loss,substitute_used,3,1.0,0.0
2026-09-01-cam-cru,win,starter,379,0.43271767810026385,0.34300791556728233
2026-09-01-cam-cru,win,substitute_used,32,0.40625,0.5
