data,fixture,score,outcome,comentários pré,comentários pós,negative pós (%),neutral pós (%),positive pós (%)
01/09/2026,Atlético-MG × Cruzeiro,2–1,Atlético-MG venceu,25,3761,47.96596649827173,28.928476469024194,23.10555703270407
25/08/2026,Cruzeiro × Atlético-MG,1–1,Empate,81,2100,64.66666666666666,23.476190476190474,11.857142857142858
02/05/2026,Cruzeiro × Atlético-MG,1–3,Atlético-MG venceu,66,2936,58.37874659400545,28.235694822888284,13.385558583106267
08/03/2026,Cruzeiro × Atlético-MG,1–0,Cruzeiro venceu,26,20201,48.99262412751844,27.246175931884558,23.761199940597
25/01/2026,Atlético-MG × Cruzeiro,2–1,Atlético-MG venceu,52,3185,43.39089481946625,35.32182103610675,21.287284144427
15/10/2025,Atlético-MG × Cruzeiro,1–1,Empate,23,3849,69.29072486360094,23.616523772408417,7.092751363990647
11/09/2025,Cruzeiro × Atlético-MG,2–0,Cruzeiro venceu,6,4557,33.31138907175774,34.03554970375247,32.6530612244898
27/08/2025,Atlético-MG × Cruzeiro,0–2,Cruzeiro venceu,120,3788,48.838437170010565,32.23336853220697,18.928194297782472
18/05/2025,Cruzeiro × Atlético-MG,0–0,Empate,53,1316,57.75075987841946,29.559270516717323,12.689969604863222
09/02/2025,Cruzeiro × Atlético-MG,0–2,Atlético-MG venceu,2,4972,48.16975060337892,29.404666130329847,22.42558326629123
