word,frequency
cruzeiro,5826
futebol,4258
hulk,3923
jogo,3539
galo,3165
time,2400
atlético,2250
briga,2086
jorge,2066
kaio,1935
lyanco,1933
melhor,1688
jogador,1668
gol,1550
bom,1456
brasil,1416
goleiro,1405
era,1365
jogadores,1324
maior,1198
quando,1184
sempre,1165
mineiro,1155
bola,1150
dois,1128
assim,1125
são,1122
nao,1105
deu,1099
juiz,1074
demais,1071
anos,1068
torcida,1056
flamengo,1051
brasileiro,1015
bem,1006
todos,1001
faz,989
final,989
fez,987
parabéns,985
agora,961
vergonha,946
raiz,942
clássico,935
everson,891
coisa,889
bruno,889
está,887
narrador,874
tinha,873
minas,860
tava,843
copa,836
campo,826
mundo,804
cássio,799
maria,796
ano,793
nunca,779
desse,777
pode,763
porrada,758
ganhar,757
fazer,757
sim,753
mão,744
ruim,730
tempo,715
vcs,715
times,714
fabrício,700
sabe,698
apanhou,676
jogar,672
cenas,669
joga,663
tomou,650
contra,649
dudu,643
gente,638
mano,634
esses,630
marias,630
lance,619
ficou,617
frangas,608
vez,605
outro,592
arbitragem,589
falar,581
jogos,578
vou,573
igual,568
fala,567
pai,559
falta,558
ganhou,558
quer,554
ninguém,552
viu,552
hora,551
boa,551
falando,549
teve,539
perder,536
gabigol,535
perdeu,534
fica,529
pior,520
hoje,518
estão,511
lamentável,502
título,498
pênalti,497
cima,496
dar,493
porra,491
estava,489
expulso,489
campeonato,487
ficar,483
pau,479
caras,476
deus,476
tão,469
fosse,468
cabuloso,460
toda,458
merda,457
deveria,456
jogou,455
dia,454
narração,451
grande,449
ganha,449
palmeiras,448
soco,448
primeiro,443
melhores,441
sendo,440
lamentáveis,440
chora,438
menos,438
pegar,436
romero,434
árbitro,432
começou,432
cruzeirense,431
campeão,430
corinthians,416
verdade,415
acho,414
disso,414
fora,410
seleção,408
mal,405
sei,403
gerson,402
casa,397
jogando,395
dessa,395
essas,394
vem,394
nesse,394
obrigado,389
normal,381
arena,379
vamos,376
cabeça,372
tanto,372
olha,371
respira,370
onde,368
parece,367
vão,366
segundo,364
muita,364
estádio,363
culpa,362
nenhum,361
fraco,359
pouco,357
uns,356
villalba,354
libertadores,352
série,352
pqp,351
gols,351
var,348
saiu,347
mineirão,347
quase,345
exemplo,345
amarelo,344
expulsão,343
duas,343
acha,343
cartão,341
tbm,340
então,340
pegou,339
foda,338
fred,337
lianco,335
zagueiro,334
tomar,333
vida,332
atleticano,332
vezes,331
antes,327
clube,325
patético,323
dentro,320
cada,317
levou,315
deixa,312
bosta,312
franga,312
cassio,312
alguém,309
torcedor,308
covarde,305
jeito,304
horrível,303
gosta,302
show,301
virou,300
história,300
atletico,299
bateu,299
brigar,298
rival,297
assistir,297
deve,296
outra,295
precisa,294
fazendo,293
outros,293
ufc,292
vermelho,291
perde,290
novo,290
volta,289
confusão,289
certo,286
momentos,284
boca,283
pancadaria,283
voadora,283
imagina,282
falou,281
queria,281
caio,280
seria,275
foram,273
top,272
cadê,270
parte,268
chorão,267
amigo,266
títulos,264
torcedores,264
venceu,264
vitória,263
nosso,261
desde,261
galinha,261
pequeno,259
momento,259
entre,258
meio,257
bando,257
vendo,253
será,252
envolvidos,248
homem,247
partida,246
nenhuma,244
errado,243
gabi,243
realmente,242
nossa,242
chato,242
msm,241
nessa,241
mijo,240
dando,238
caralho,238
quero,237
cuca,236
freguês,235
toma,235
feio,232
fagner,231
punição,231
ontem,230
querendo,229
aquele,229
ridículo,229
pedrinho,226
pega,226
lucas,225
respeito,225
caráter,224
caiu,223
sair,223
apanhar,223
acabou,220
chão,220
tivesse,219
passar,218
rapaz,217
mim,216
irmão,215
qualquer,214
dizer,212
doido,212
tipo,211
papai,211
pois,210
sai,210
cbf,209
feito,209
passado,209
chorando,209
